Category,Aantal per 100.000 inwoners,Aantal
's-Hertogenbosch,68.3,106
Aa en Hunze,3.9,1
Aalsmeer,22.0,7
Aalten,7.4,2
Achtkarspelen,0.0,0
Alblasserdam,39.7,8
Albrandswaard,31.3,8
Alkmaar,42.9,47
Almelo,24.6,18
Almere,44.4,94
Alphen aan den Rijn,43.8,49
Alphen-Chaam,146.9,15
Altena,44.7,25
Ameland,0.0,0
Amersfoort,30.5,48
Amstelveen,45.8,42
Amsterdam,42.2,368
Apeldoorn,23.2,38
Appingedam,17.2,2
Arnhem,31.0,50
Assen,14.6,10
Asten,71.7,12
Baarle-Nassau,14.6,1
Baarn,32.2,8
Barendrecht,57.5,28
Barneveld,20.3,12
Beek,81.9,13
Beekdaelen,100.1,36
Beemster,39.9,4
Beesel,140.9,19
Berg en Dal,82.9,29
Bergeijk,64.4,12
Bergen (L.),45.9,6
Bergen (NH.),53.6,16
Bergen op Zoom,25.2,17
Berkelland,6.9,3
Bernheze,243.2,76
Best,103.4,31
Beuningen,69.5,18
Beverwijk,36.0,15
Bladel,73.5,15
Blaricum,43.3,5
Bloemendaal,21.2,5
Bodegraven-Reeuwijk,20.1,7
Boekel,287.5,31
Borger-Odoorn,7.8,2
Borne,55.8,13
Borsele,17.6,4
Boxmeer,57.9,17
Boxtel,55.2,17
Breda,74.3,137
Brielle,63.7,11
Bronckhorst,13.9,5
Brummen,43.4,9
Brunssum,115.0,32
Bunnik,46.1,7
Bunschoten,18.3,4
Buren,26.2,7
Capelle aan den IJssel,46.2,31
Castricum,36.1,13
Coevorden,25.5,9
Cranendonck,269.3,57
Cuijk,35.8,9
Culemborg,69.1,20
Dalfsen,52.5,15
Dantumadiel,10.6,2
De Bilt,44.1,19
De Fryske Marren,25.2,13
De Ronde Venen,58.5,26
De Wolden,32.9,8
Delft,34.7,36
Delfzijl,20.3,5
Den Helder,14.2,8
Deurne,154.0,50
Deventer,35.7,36
Diemen,13.0,4
Dinkelland,64.2,17
Doesburg,45.1,5
Doetinchem,17.2,10
Dongen,57.2,15
Dordrecht,51.1,61
Drechterland,10.1,2
Drimmelen,62.3,17
Dronten,50.5,21
Druten,100.4,19
Duiven,39.8,10
Echt-Susteren,110.7,35
Edam-Volendam,52.5,19
Ede,41.8,49
Eemnes,10.8,1
Eersel,103.6,20
Eijsden-Margraten,178.6,46
Eindhoven,56.7,133
Elburg,47.5,11
Emmen,12.1,13
Enkhuizen,91.4,17
Enschede,28.8,46
Epe,54.2,18
Ermelo,59.2,16
Etten-Leur,84.3,37
Geertruidenberg,41.8,9
Geldrop-Mierlo,57.9,23
Gemert-Bakel,218.1,67
Gennep,82.7,14
Gilze en Rijen,64.3,17
Goeree-Overflakkee,91.9,46
Goes,23.6,9
Goirle,100.4,24
Gooise Meren,36.2,21
Gorinchem,37.8,14
Gouda,40.8,30
Grave,136.7,17
Groningen,6.9,16
Gulpen-Wittem,91.7,13
Haaksbergen,53.5,13
Haaren,104.4,15
Haarlem,31.9,52
Haarlemmermeer,32.7,51
Halderberge,36.3,11
Hardenberg,29.5,18
Harderwijk,31.0,15
Hardinxveld-Giessendam,5.5,1
Harlingen,19.1,3
Hattem,81.9,10
Heemskerk,53.6,21
Heemstede,33.0,9
Heerde,134.5,25
Heerenveen,23.8,12
Heerhugowaard,38.2,22
Heerlen,105.7,92
Heeze-Leende,74.3,12
Heiloo,37.5,9
Hellendoorn,19.5,7
Hellevoetsluis,27.4,11
Helmond,80.1,74
Hendrik-Ido-Ambacht,16.0,5
Hengelo,19.7,16
Het Hogeland,14.6,7
Heumen,97.3,16
Heusden,80.5,36
Hillegom,27.0,6
Hilvarenbeek,38.7,6
Hilversum,23.1,21
Hoeksche Waard,73.2,64
Hof van Twente,40.0,14
Hollands Kroon,53.7,26
Hoogeveen,18.0,10
Hoorn,31.4,23
Horst aan de Maas,94.3,40
Houten,35.9,18
Huizen,41.2,17
Hulst,29.0,8
IJsselstein,88.0,30
Kaag en Braassem,22.0,6
Kampen,86.5,47
Kapelle,15.8,2
Katwijk,25.9,17
Kerkrade,100.6,46
Koggenland,26.4,6
Krimpen aan den IJssel,27.1,8
Krimpenerwaard,67.5,38
Laarbeek,146.5,33
Landerd,184.4,29
Landgraaf,96.1,36
Landsmeer,26.1,3
Langedijk,53.3,15
Lansingerland,48.1,30
Laren,71.0,8
Leeuwarden,25.0,31
Leiden,25.6,32
Leiderdorp,33.3,9
Leidschendam-Voorburg,22.2,17
Lelystad,54.7,43
Leudal,144.9,52
Leusden,23.0,7
Lingewaard,51.5,24
Lisse,21.8,5
Lochem,26.7,9
Loon op Zand,85.4,20
Lopik,117.5,17
Loppersum,0.0,0
Losser,26.4,6
Maasdriel,59.9,15
Maasgouw,87.6,21
Maassluis,42.1,14
Maastricht,105.3,128
Medemblik,31.0,14
Meerssen,69.0,13
Meierijstad,204.4,166
Meppel,14.7,5
Middelburg,26.6,13
Midden-Delfland,15.5,3
Midden-Drenthe,18.1,6
Midden-Groningen,9.9,6
Mill en Sint Hubert,82.3,9
Moerdijk,24.2,9
Molenlanden,36.4,16
Montferland,22.2,8
Montfoort,86.2,12
Mook en Middelaar,63.7,5
Neder-Betuwe,127.4,31
Nederweert,164.5,28
Nieuwegein,47.3,30
Nieuwkoop,24.3,7
Nijkerk,48.6,21
Nijmegen,61.3,109
Nissewaard,37.5,32
